Anos_de_Atraso;CO_PESSOA_FISICA;NU_ANO;Raça/Cor;etapa;idade_calculada;Sexo;Zona Residencial;Evasao;rep;prom;Probabilidade de Evasão;Probabilidade de Repetência;Probabilidade de Promoção
2.0;123414239905;2007;Branco;3.0;10;Feminino;Urbana;0;0;1;30.0;12.0;58.0
1.0;124339681198;2008;Branco;3.0;9;Masculino;Urbana;0;0;1;30.0;5.0;64.0
1.0;124315084203;2008;Parda;3.0;9;Feminino;Urbana;1;0;0;30.0;5.0;65.0
0.0;124019649323;2009;Parda;3.0;8;Masculino;Urbana;0;0;1;30.0;2.0;68.0
1.0;130270242723;2008;Parda;3.0;9;Masculino;Urbana;0;0;1;30.0;6.0;64.0
1.0;127508154109;2008;Branco;3.0;9;Feminino;Urbana;0;0;1;30.0;5.0;65.0
1.0;122898096910;2008;Parda;3.0;9;Feminino;Urbana;1;0;0;30.0;5.0;65.0
2.0;122452572780;2007;Branco;3.0;10;Masculino;Urbana;1;0;0;30.0;14.0;56.0
1.0;127363589533;2008;Parda;3.0;9;Feminino;Urbana;0;0;1;30.0;5.0;65.0
0.0;127352194613;2009;Parda;3.0;8;Feminino;Urbana;0;0;1;29.0;2.0;69.0
1.0;127302905591;2008;Parda;3.0;9;Masculino;Urbana;0;0;1;30.0;6.0;64.0
1.0;127296477759;2008;Branco;3.0;9;Feminino;Urbana;0;0;1;30.0;5.0;65.0
1.0;122882536495;2008;Parda;3.0;9;Masculino;Urbana;0;0;1;30.0;6.0;64.0
0.0;125011128490;2009;Parda;3.0;8;Masculino;Urbana;1;0;0;30.0;2.0;68.0
1.0;120691988128;2008;Parda;3.0;9;Masculino;Urbana;1;0;0;30.0;6.0;64.0
1.0;124151555519;2008;Preta;3.0;9;Feminino;Urbana;0;0;1;30.0;5.0;65.0
2.0;123799753531;2007;Branco;3.0;10;Masculino;Urbana;0;1;0;30.0;14.0;56.0
2.0;122939009162;2007;Branco;3.0;10;Feminino;Urbana;0;1;0;30.0;12.0;58.0
1.0;120839859669;2008;Branco;3.0;9;Feminino;Urbana;1;0;0;30.0;5.0;65.0
1.0;122782435514;2008;Parda;3.0;9;Feminino;Urbana;0;1;0;30.0;5.0;65.0
2.0;144794819152;2004;Preta;6.0;13;Feminino;Urbana;1;0;0;9.0;9.0;82.0
4.0;118342886149;2002;Preta;6.0;15;Feminino;Urbana;0;0;1;7.0;35.0;58.0
